RANK,Name,POS,ADP,BYE,NOTES,gFAN PTS,gYDS Passing,gTDS Pass,gREC Receiving,gYDS  Recieiving,gTDS Reciieving,gATT rushing,gDS rushing,gTDS rushing,yFAN PTS,yYDS Passing,yTDS Pass,yREC Receiving,yYDS  Recieiving,yTDS Reciieving,yATT rushing,yYDS rushing,yTDS rushing
1,Christian McCaffrey CAR ,RB1,1.2,13,"You can try to make the argument that McCaffrey shouldn‘t go No. 1 overall this year, but you‘d lose the argument. Outside of saying, “running backs don‘t repeat as the top option,"" there‘s nothing that should suggest McCaffrey won‘t. He‘s not just a running back. He‘s a wide receiver. He scored 182.5 half-PPR points through the air alone, which would‘ve been the No. 20 wide receiver in fantasy last year, ahead of Stefon Diggs. Even if McCaffrey simply stopped playing football in Week 12, he would‘ve finished as the No. 1 running back by a massive 22.1 PPR points. The new offense and improved quarterback play shouldn‘t hurt at all.",22.2,0,0,7.3,62.8,0.3,17.9,86.7,0.9,355.2,0,0,116,1005,4,287,1387,15
2,Saquon Barkley NYG ,RB2,2.4,11,"After an extremely impressive rookie season, Barkley came back down to earth a bit in 2019, though 4.6 yards per carry behind that Giants offensive line is nothing to scoff at. Playing through injury was a clear net-negative to his overall numbers, and something he hopefully learned from. The biggest difference was breakaway runs of 15-plus yards, as Barkley rattled off 20 of them in his rookie season, but just nine of them in his sophomore season. With all the weapons in this offense, you have to wonder just how many targets Barkley will get, but trust me, the Giants are building their offense around him and not anyone else. If Daniel Jones can take a step forward in year two, it‘ll help open lanes for Barkley. It also doesn‘t hurt that they dramatically improved the offensive line this offseason.",14.8,0,0,4,33.7,0.2,16.7,77.2,0.5,192.1,0,0,52,438,2,217,1003,6
3,Ezekiel Elliott DAL ,RB3,3.2,10,"There‘s only one running back over the last five years who‘s finished top-six three times, and that‘s Elliott. Oddly enough, he‘s never finished as No. 1 though. The Cowboys passing offense just got better with the addition of CeeDee Lamb, and while that may put a cap on Elliott‘s targets in the passing game, he should be free to rock against seven-man fronts. He saw eight-plus defenders in the box 19.3 percent of the time last year, a number that may dip down into the single digits, provided the Cowboys go three-wide more often than not. Stop trying to find “the next big thing,"" because Elliott has proven time and time again that he‘s among the safest picks at the top of the draft. He‘s posted RB2 or better numbers in 92.9 percent of his career games, which is better than any running back I‘ve ever charted. In fact, the closest is Le‘Veon Bell, who‘s hit that mark 87.0 percent of the time.",16.1,0,0,3.4,26.3,0.1,18.8,84.8,0.8,257.7,0,0,54,420,2,301,1357,12
4,Derrick Henry TEN ,RB4,4.6,7,"Yes, Derrick Henry finished with 1,540 yards and 16 touchdowns last year en route to a No. 3 finish. Yes, he was dominant in the playoffs. We still can‘t forget that he was the No. 14 running back in points per game before Week 10 last year, behind David Johnson and Mark Ingram. Should we automatically assume Henry picks up where he left off in 2019? My issue with Henry is that he‘s not involved in the passing-game, which lowers his weekly floor. That alone will allow us to choose someone like Alvin Kamara over him. Henry is best-suited as a second-round pick rather than one in the first round.",18.4,0,0,1.2,13.7,0.1,20.2,102.7,1.1,276.6,0,0,18,206,2,303,1540,16
5,Dalvin Cook MIN ,RB5,6.4,7,"It turns out Gary Kubiak is very good for a run-game. Cook took his game to another level in 2019, finishing as the No. 5 running back despite missing two games. Not only did he total 18-plus carries in eight games, but he also ranked third in yards per route run among running backs. With Stefon Diggs gone, we could see him highlighted even more in the passing game, though Justin Jefferson will eat some of them. Cook also led the league with 21 carries inside the five-yard-line. Health has always been a question mark with Cook, but when healthy, he‘s easily a top-10 back.",17.1,0,0,3.8,37.1,0,17.9,81.1,0.9,239.4,0,0,53,519,0,250,1135,13
6,Alvin Kamara NO ,RB6,6.7,6,"There‘s just one running back who‘s had a higher “boom” percentage (25-plus PPR points) than Kamara over the course of their careers, and that‘s Christian McCaffrey. Kamara has now topped 25 PPR points in 14 of his 45 career games, which is quite ridiculous. His 2019 season was easily his worst to date, though he still finished as the RB12 despite missing two games. The Saints offense continues to groove, and though Drew Brees is still playing great football, his arm strength is declining, which could lead to more targets than every for Kamara, who‘s averaged 6.7 targets per game over the first three years in a Saints uniform. Provided he doesn‘t get hurt, Kamara is a near-lock to finish as a top-six running back.",12,0,0,5.8,38.1,0.1,12.2,56.9,0.4,167.52,0,0,81,533,1,171,797,5
7,Nick Chubb CLE ,RB7,9.6,9,"Through 10 games last year, Chubb was doing very well and was the No. 4 running back (PPG) in half-PPR formats. Keep in mind that was despite the offense not being very good. From that point forward (when Kareem Hunt joined the offense), Chubb was the No. 18 running back while Hunt was the No. 26 running back. This is clearly more of a timeshare than Chubb owners would like, leaving him best-suited as a high-end RB2 rather than the RB1 he appeared destined to be.",13.7,0,0,2.3,17.4,0,18.6,93.4,0.5,219.2,0,0,36,278,0,298,1494,8
8,Michael Thomas NO ,WR1,10.2,6,"I‘m not sure how many realize how rare Thomas’ season was in 2019. He saw 185 targets on a team that threw the ball just 581 times. That‘s a ridiculous 31.8 percent target share. Just so you know, it‘s rare for a receiver to see a 25 percent target share. I‘ve already stated in the Drew Brees paragraph that I expect this offense to throw just a bit less in 2020. Initial projections have them around 560 pass attempts, so bringing that down to even a 28 percent target share would force Thomas to lose about 28 targets. You can see why a repeat of last year‘s numbers are unlikely, especially when you factor in the arrival of Emmanuel Sanders as a rock-solid No. 2 receiver who‘ll garner more targets than Ted Ginn and/or Tre‘Quan Smith would‘ve. Still, Thomas is my WR1 heading into the season, because outside of injury, he‘s projected as my top receiver by a full 15 half-PPR points.",14.1,0,0,9.3,107.8,0.6,0.1,-0.6,0,225.6,0,0,149,1725,9,1,-9,0
9,Joe Mixon CIN ,RB8,10.2,9,"Mixon‘s value was up in the air for a week or two before he agreed on a new deal with the Bengals that will keep him in Cincinnati for several more seasons. With that locked in, Mixon is good to go for the 2020 season and it should be a good one. The downside for Mixon is his lack of usage in the passing game, which admittedly limits his upside a tad. But he was a true workhorse back over the latter half of the 2019 season, and will now be playing behind a better offensive line with a better quarterback in an offense that should score plenty of points. He may not have the ceiling of the top three or four backs being drafted, but if he‘s healthy, RB1 status is nearly a lock. Draft him with confidence.",11.9,0,0,2.2,17.9,0.2,17.4,71.1,0.3,190.4,0,0,35,287,3,278,1137,5
10,Josh Jacobs LV ,RB9,11,6,"We‘ve continually heard that Jacobs is going to be more heavily involved in the passing game, though that never materialized last year, seeing just 27 targets in 13 games played. Then we heard, “we‘re going to involve him more in 2020."" They then re-signed Jalen Richard, added Henry Ruggs, and Lynn Bowden. It‘s not looking likely that Jacobs sees the 50-plus targets he deserves, which lowers him down the rankings. The overall offense should improve, giving him more scoring opportunities, but relying on touchdowns is a tricky thing. He‘s best-suited as a high-end RB2 who has RB1 upside if they follow through on the promise to use him more in the passing game.",13.2,0,0,1.5,12.8,0,18.6,88.5,0.5,171.6,0,0,20,166,0,242,1150,7
